ID,education_level,years_experience,job_title,industry,location,company_size,certifications,age,working_hours,crucial_code,salary
40,PhD,1,Analyst,IT,New York,Small,,57,43,UHU508,64297.77254
41,Bachelors,12,Data Scientist,Education,New York,Small,3,59,59,FLF570,84555.26157
42,High School,12,Analyst,Healthcare,New York,Small,2,48,31,WIN775,82172.05727
43,Bachelors,0,Data Scientist,IT,New York,,0,26,30,,69579.95518
44,PhD,,Software Engineer,Finance,New York,Medium,1,59,58,SEH296,105118.2088
45,High School,14,Software Engineer,IT,New York,,1,29,49,,80254.41091
46,High School,5,Manager,Education,New York,Small,3,54,36,PCX565,81452.84316
47,High School,2,Analyst,Education,New York,Medium,1,34,,NIH743,61880.6231
48,Bachelors,0,Analyst,Education,New York,Large,0,50,38,CSR849,60093.51294
49,PhD,18,Analyst,Finance,New York,Small,4,43,33,AWR683,115047.6921
50,High School,19,Software Engineer,Healthcare,New York,Small,3,36,35,FAF362,107344.384
51,Masters,1,Analyst,IT,New York,Large,3,43,37,WIZ114,89917.55344
52,Masters,16,Data Scientist,Healthcare,New York,Medium,4,54,41,POF520,108439.972
53,PhD,16,Analyst,Healthcare,New York,Small,3,54,30,BYS843,111796.1965
54,Bachelors,1,Data Scientist,Education,New York,Large,3,51,40,QFQ407,77728.47818
55,PhD,2,Analyst,Healthcare,New York,Small,1,27,30,FAT354,78985.56548
56,High School,9,Data Scientist,Healthcare,New York,Large,3,55,41,WXV052,81591.63439
57,High School,14,Software Engineer,Finance,New York,Small,4,,33,LYT288,77242.20839
58,Bachelors,11,Manager,Healthcare,New York,Medium,2,42,55,YNV575,104894.5483
59,PhD,7,Manager,Finance,New York,Large,2,23,48,PAZ927,129691.5122
60,Masters,,Data Scientist,Finance,New York,Medium,1,27,37,TUQ543,100759.9328
61,PhD,1,Analyst,IT,New York,Small,2,50,57,MNL691,89547.62239
62,PhD,1,Data Scientist,Education,New York,,3,54,48,,81560.97905
63,PhD,3,Software Engineer,Healthcare,New York,Large,0,32,38,VRF515,63722.10648
64,,18,Data Scientist,IT,New York,Small,4,37,48,CLW294,103534.3462
65,PhD,3,Data Scientist,,New York,Small,2,51,,RIU821,92671.31424
66,PhD,9,Analyst,Healthcare,New York,Medium,2,46,58,DOJ719,88107.68701
67,Masters,6,Manager,Healthcare,New York,Small,0,30,30,NBH190,89292.49626
68,PhD,17,Analyst,Education,New York,Medium,1,41,47,MKG069,90408.9294
69,Bachelors,18,Analyst,IT,New York,,2,29,33,,90229.07197
70,Bachelors,1,Manager,IT,New York,Large,3,31,32,EDU686,63263.53148
71,PhD,11,,Finance,New York,Small,,54,54,ZCK972,
72,Bachelors,2,Manager,IT,New York,Small,1,24,40,DQT077,86901.2719
73,,7,Software Engineer,,New York,Large,2,,43,JDO052,83224.79261
74,Bachelors,10,Manager,IT,New York,Small,4,26,56,ENL318,90164.8098
75,High School,19,Manager,Healthcare,New York,Small,4,24,52,MOH041,102381.4318
76,Bachelors,19,Analyst,Education,New York,Medium,2,,40,RKA537,89026.31164
77,Bachelors,9,Software Engineer,IT,New York,Large,3,,48,RZL172,86474.88794
78,Masters,0,Software Engineer,IT,New York,Small,1,46,58,WIO665,68838.2372
79,PhD,6,Analyst,Healthcare,New York,Medium,1,34,36,DHB938,103085.56
80,Masters,0,Software Engineer,IT,New York,Medium,4,55,32,OPP182,58053.63073
81,Masters,15,Analyst,Education,New York,,3,54,56,,
82,PhD,6,Software Engineer,IT,New York,Medium,3,46,56,UJF294,
83,High School,7,Software Engineer,Finance,New York,Small,4,49,37,QGS609,77354.7897
84,High School,0,Manager,Finance,New York,Medium,0,33,52,MLL906,77650.68759
85,High School,16,Manager,Education,New York,Large,1,37,53,ZUN249,102002.7595
86,High School,13,Software Engineer,Education,New York,Large,4,42,44,PZF374,72378.62684
87,Bachelors,15,Software Engineer,Education,New York,Small,1,52,59,OGO147,90041.67004
88,Masters,11,Manager,Finance,New York,Medium,2,31,,JWZ082,82997.28146
89,High School,14,Data Scientist,Finance,New York,Medium,1,37,46,IVJ997,105315.2978
90,PhD,13,Software Engineer,IT,New York,Large,1,59,51,DNF841,94756.32612
91,,7,Software Engineer,Healthcare,New York,Medium,2,30,33,HXT756,76569.19012
92,High School,2,Software Engineer,Finance,New York,Medium,2,26,36,RTK827,64882.50573
93,Masters,17,Manager,,New York,Small,4,56,52,FOU393,92841.58513
94,Bachelors,13,Data Scientist,Finance,New York,Small,4,30,,UGD507,78772.04804
95,High School,,Analyst,IT,New York,Medium,2,51,44,KGE299,70107.28784
96,Bachelors,15,Software Engineer,IT,New York,Small,3,45,30,MVB616,75233.17504
97,,5,Analyst,IT,New York,Medium,2,47,47,KBX351,94511.43528
98,PhD,8,Manager,Education,New York,Small,1,58,39,EUI065,93859.7964
99,Masters,8,Software Engineer,Finance,New York,Medium,2,38,48,SXM338,82611.26951
100,High School,18,Data Scientist,IT,New York,Large,4,26,40,SEE635,89562.01332
101,Bachelors,15,Software Engineer,Finance,New York,Medium,4,51,31,XSZ760,73291.69655
102,Masters,4,Data Scientist,Finance,New York,Medium,0,49,,QBZ637,72525.63193
103,Bachelors,7,Software Engineer,IT,New York,Large,0,46,41,FBQ333,63401.13972
104,PhD,4,Software Engineer,Healthcare,New York,Medium,3,41,39,FKM255,81288.53183
105,PhD,17,Analyst,,New York,Small,1,22,46,FEG629,94825.27922
106,Bachelors,9,Analyst,Finance,New York,Small,1,37,34,REF210,59043.33075
107,Bachelors,4,,IT,New York,,4,34,42,,86829.22736
108,Masters,3,Data Scientist,Finance,New York,Small,3,32,49,PON586,90618.02399
109,Bachelors,11,Analyst,Education,New York,Small,2,,50,RAR420,105292.848
110,PhD,1,Software Engineer,Education,New York,Large,0,46,44,FDZ170,73251.52599
111,Bachelors,0,Software Engineer,Finance,New York,Small,3,40,32,YZX910,61103.98807
112,Bachelors,2,Manager,Finance,New York,Large,1,33,57,WRX215,84759.95175
113,PhD,7,,Healthcare,New York,Large,0,36,53,KIV440,90846.2247
114,High School,13,Manager,Education,New York,Small,3,59,48,JVJ268,84060.29493
115,High School,5,Software Engineer,IT,New York,,0,59,43,,66378.46462
116,Masters,12,Software Engineer,IT,New York,Medium,1,51,57,JSD328,
117,PhD,10,Data Scientist,IT,New York,Small,0,,50,TBP539,96937.18713
118,High School,16,Software Engineer,Healthcare,New York,Large,0,48,,EHG779,91447.1555
119,Bachelors,8,Data Scientist,IT,New York,Large,4,56,36,GNF720,75481.57883
120,High School,18,Data Scientist,IT,New York,Large,1,55,45,ZTZ841,87572.34121
121,PhD,5,Data Scientist,Healthcare,New York,Large,1,47,52,LGY953,98178.67115
122,Masters,12,Data Scientist,IT,New York,Medium,0,29,32,VRM629,83939.2169
123,PhD,8,Analyst,Finance,New York,Medium,2,35,34,DXW094,92108.26824
124,Masters,8,Manager,Education,New York,Medium,1,35,34,RBK046,102624.1629
125,Bachelors,17,Analyst,IT,New York,Large,0,51,50,SLY304,73194.41223
126,Bachelors,12,Software Engineer,IT,New York,Medium,1,31,57,KUC915,63166.02036
127,High School,7,,IT,New York,Large,2,46,44,BDB874,82569.6113
128,Masters,18,Data Scientist,Finance,New York,Small,2,43,31,KBG784,102032.1407
129,Masters,0,Manager,,New York,Medium,1,36,53,IUR311,82594.27179
130,PhD,9,Manager,IT,New York,Large,0,58,44,ZOS722,95542.2979
131,High School,2,Analyst,Healthcare,New York,Small,4,,42,OFQ947,50987.38734
132,Bachelors,13,Analyst,IT,New York,Medium,3,53,44,WRP350,73118.02652
133,High School,18,Analyst,IT,New York,Large,3,59,55,EKV769,93224.3518
134,High School,1,Manager,Finance,New York,Large,1,23,53,BIS692,70902.29971
135,PhD,12,Software Engineer,IT,New York,Small,0,39,49,MTU444,81573.05214
136,Masters,6,Analyst,Healthcare,New York,Large,1,57,48,LEU260,69416.16354
137,PhD,1,Data Scientist,IT,New York,Large,1,29,53,FFW858,79372.30301
138,PhD,11,Data Scientist,Finance,New York,Small,3,52,58,DCQ387,112000.756
139,High School,14,Analyst,IT,New York,Small,3,23,56,LVG577,72055.51441
140,High School,14,Analyst,Education,New York,Small,3,22,52,ZOX078,101377.0462
141,Masters,1,Manager,Finance,New York,Small,2,34,43,JME492,78032.25184
142,PhD,8,Manager,Healthcare,New York,Small,0,50,37,IHO406,110449.4066
143,Masters,4,Software Engineer,Education,New York,Medium,4,59,34,OLL590,85439.21513
144,Masters,4,Analyst,Finance,New York,Medium,3,54,46,XRN226,86960.11743
145,High School,16,Analyst,Education,New York,Small,1,59,38,VZR492,70458.76381
146,Bachelors,0,,Healthcare,New York,Medium,2,57,53,RUW404,57771.30158
147,Masters,14,Data Scientist,Healthcare,New York,Large,1,46,37,WQT842,96308.5347
148,High School,8,Manager,Healthcare,New York,Medium,3,33,35,UYG337,91244.26975
149,Masters,10,Software Engineer,Healthcare,New York,Medium,2,46,33,QTB111,85176.50577
150,High School,,Analyst,Finance,New York,Medium,0,47,56,BLK394,90125.862
151,High School,15,Manager,IT,New York,Medium,1,55,59,IEI428,84382.4105
152,Masters,16,Software Engineer,Education,New York,Small,4,55,52,FCL650,84772.40212
153,Masters,2,Manager,IT,New York,Medium,1,25,58,YXI927,70133.92205
154,PhD,,Manager,Education,New York,Medium,3,50,30,LVN526,108280.4018
155,Bachelors,5,Manager,Education,New York,Small,2,58,,BKB250,85304.05428
156,Masters,10,Software Engineer,Finance,New York,Large,0,27,48,SDX254,87591.2502
157,Bachelors,5,Data Scientist,IT,New York,Small,2,41,49,OYO942,102187.5059
158,PhD,13,Manager,IT,New York,Large,0,27,42,SLM527,121271.2386
159,Bachelors,,Software Engineer,Healthcare,New York,Medium,0,,38,HCO653,78039.06049
160,Bachelors,13,Analyst,Finance,New York,,4,44,59,,82072.80303
161,High School,15,Data Scientist,IT,New York,Large,1,38,47,KDP619,85179.82173
162,High School,18,Analyst,Finance,New York,Large,3,45,34,EEN402,92174.34776
163,PhD,9,Data Scientist,Education,New York,Large,1,,56,NGP164,104167.8148
164,PhD,13,Data Scientist,IT,New York,Small,1,58,40,ADD652,122594.6571
165,High School,2,Software Engineer,Education,New York,Small,1,51,56,TWV220,54873.08679
166,Masters,13,Manager,,New York,Large,0,24,35,BWC264,95592.13211
167,PhD,19,Software Engineer,Healthcare,New York,Large,1,58,33,KKS016,110299.8619
168,High School,4,Data Scientist,Finance,New York,Large,1,43,46,TNR186,74014.09427
169,High School,8,Software Engineer,Education,New York,Large,3,,52,MAB509,62877.86135
170,High School,0,Software Engineer,Finance,New York,Small,,22,51,STT721,80280.1675
171,Masters,11,Data Scientist,IT,New York,Small,1,58,31,ZOD877,98734.14794
172,Masters,7,Analyst,Healthcare,New York,Small,2,30,30,POL485,89126.05603
173,High School,3,Data Scientist,IT,New York,Small,2,46,40,HCI560,71623.46713
174,Bachelors,17,Software Engineer,Finance,New York,Small,0,,57,SFC584,79197.44301
175,Masters,1,Data Scientist,IT,New York,Medium,0,56,53,LCS085,72875.16218
176,Masters,3,Software Engineer,Education,New York,Medium,3,24,55,RUK594,77385.26177
177,Bachelors,8,Data Scientist,IT,New York,Medium,1,58,35,QPH960,84210.35092
178,Bachelors,4,Data Scientist,Finance,New York,Small,3,22,38,QBL253,64099.1734
179,PhD,16,Software Engineer,Finance,New York,Small,4,30,54,JOB859,96138.23904
180,Bachelors,19,Data Scientist,Education,New York,Small,4,23,43,HTL792,109094.9981
181,Masters,2,Software Engineer,IT,New York,Large,3,22,40,LPY023,83900.17418
182,High School,9,Manager,Healthcare,New York,Medium,0,,54,FFE276,92342.11158
183,High School,3,Software Engineer,Education,New York,Large,2,43,,XXV397,59990.60173
184,Masters,15,Manager,Finance,New York,Medium,1,49,30,YFH495,93156.22777
185,High School,15,Data Scientist,Healthcare,New York,Small,2,45,35,BUJ356,95756.62869
186,PhD,12,Analyst,Finance,New York,Small,4,56,52,LKX612,98410.89449
187,PhD,7,Manager,Education,New York,Small,0,24,31,TCM647,96694.05528
188,High School,9,Manager,Finance,New York,Medium,,51,50,DBS246,87450.08242
189,High School,10,Analyst,Education,New York,Medium,3,46,52,ROU430,74982.12325
190,High School,3,Analyst,Healthcare,New York,Medium,2,50,41,OOB988,60017.88246
191,Masters,19,Manager,Healthcare,New York,,,44,43,,107121.4078
192,PhD,4,Data Scientist,Finance,New York,Medium,3,,48,KLV136,91762.67677
193,PhD,5,Manager,Education,New York,Large,4,44,51,YXO682,93005.89444
194,,3,Data Scientist,IT,New York,Large,4,,45,ZGJ875,81514.09563
195,Bachelors,18,Software Engineer,Healthcare,New York,Large,3,29,42,EVG044,77747.9122
196,Bachelors,3,Analyst,Finance,New York,Large,3,31,56,WIT153,67033.75764
197,Bachelors,1,Data Scientist,Education,New York,Large,1,36,55,FYQ986,61377.94351
198,Masters,4,Software Engineer,Finance,New York,Small,1,41,56,OZK881,58506.18875
199,Bachelors,14,Manager,Healthcare,New York,Small,1,28,56,DZO632,90196.90967
200,Masters,15,Data Scientist,IT,New York,Medium,1,29,47,PZZ674,109835.1115
201,High School,7,Data Scientist,Finance,New York,Large,3,24,49,WIK928,79651.40738
202,Masters,15,Software Engineer,IT,New York,Small,3,47,39,JHI301,88490.87416
203,High School,0,Analyst,Healthcare,New York,Medium,4,34,48,EYX429,64389.79412
204,High School,,Software Engineer,Education,New York,Small,4,54,49,NEQ692,86554.27503
205,PhD,3,Software Engineer,Education,New York,Medium,3,40,35,AQO094,99920.25025
206,PhD,3,Data Scientist,IT,New York,Large,4,23,56,PYN948,79576.23886
207,Masters,17,Software Engineer,Education,New York,Medium,4,48,37,HFC765,98692.17426
208,Bachelors,11,Analyst,Education,New York,Small,0,45,30,HLI435,70286.58073
209,Bachelors,15,Software Engineer,Healthcare,New York,Medium,3,59,50,ARV537,64401.27481
210,PhD,9,Manager,Healthcare,New York,Medium,1,,42,QCH761,106104.2127
211,PhD,5,Data Scientist,IT,New York,,,24,36,,102566.1881
212,Bachelors,1,Data Scientist,Healthcare,New York,Medium,1,53,58,SWM454,72404.20292
213,High School,7,Data Scientist,IT,New York,Medium,0,24,59,BPO061,85342.41771
214,Masters,3,Data Scientist,Education,New York,Medium,1,23,34,IFN985,92772.09207
215,PhD,2,Software Engineer,Finance,New York,Medium,2,43,35,WAZ535,85073.91464
216,Masters,16,Analyst,IT,New York,Small,2,57,53,UGN650,
217,Bachelors,17,Data Scientist,Finance,New York,Small,1,26,36,FSR751,89354.59709
218,PhD,2,,Healthcare,New York,Small,2,45,31,VMF760,83223.05734
219,High School,,Software Engineer,Finance,New York,Small,3,59,40,NNP802,67274.89627
220,High School,12,Data Scientist,Healthcare,New York,Large,0,38,33,WGP997,98672.96117
221,High School,17,Data Scientist,Finance,New York,Small,3,41,34,YZD130,106928.0712
222,High School,9,Analyst,IT,New York,Medium,0,38,37,QXZ086,74198.01859
223,Masters,5,Software Engineer,IT,New York,Small,3,41,43,ORM278,76387.7952
224,High School,18,Analyst,Education,New York,Medium,4,37,36,QJN779,88668.2092
225,Masters,3,Data Scientist,Healthcare,New York,Medium,,29,49,TMA064,92963.57841
226,Bachelors,1,Software Engineer,Education,New York,Large,1,48,32,DYF931,68270.42637
227,,18,Analyst,,New York,Large,,30,59,IWA423,111962.6169
228,High School,1,Software Engineer,IT,New York,Medium,3,52,40,TTQ164,
229,Masters,19,Manager,IT,New York,Medium,0,50,47,FHN594,105673.4473
230,Bachelors,18,,Healthcare,New York,Medium,0,34,42,NYK331,85464.26752
231,Masters,,Analyst,Finance,New York,Medium,0,22,41,HOL861,90272.4088
232,Masters,10,Software Engineer,Education,New York,Medium,0,37,53,YKA674,79913.60178
233,High School,19,Analyst,Healthcare,New York,Small,4,49,33,SFE721,85027.98792
234,High School,7,Software Engineer,Healthcare,New York,Medium,3,29,45,XHY285,79313.57387
235,Masters,18,Manager,Education,New York,Medium,0,28,56,JHT558,92320.92378
236,PhD,12,Software Engineer,Healthcare,New York,Large,0,54,47,NHE425,112319.6709
237,PhD,10,Analyst,Healthcare,New York,Small,0,28,37,EXU932,76269.81418
238,High School,2,,Education,New York,Medium,3,56,39,GBX968,81209.37025
239,Masters,18,Analyst,IT,New York,Medium,1,34,50,RAH736,92203.87737
240,PhD,,Data Scientist,Education,New York,Medium,2,26,53,LFG797,78237.0643
241,Masters,4,Software Engineer,IT,New York,Medium,0,54,34,ZGF463,71478.82931
242,PhD,19,Manager,Education,New York,Medium,2,51,35,RLG904,113034.4012
243,,17,Software Engineer,Finance,New York,Medium,0,,38,IVL477,96962.2375
244,Masters,1,Manager,Education,New York,Small,3,44,36,RWR447,78943.22403
245,Masters,7,Data Scientist,,New York,Medium,0,59,54,VQL462,92557.09826
246,High School,,Manager,Finance,New York,Small,3,41,45,KDK648,74446.48345
247,Bachelors,10,Software Engineer,Finance,New York,Large,0,53,39,RWF282,74166.31708
248,Bachelors,8,Software Engineer,Finance,New York,Medium,1,34,40,MKR390,62266.45079
249,Bachelors,10,Software Engineer,Healthcare,New York,Large,3,23,57,TUT756,86885.32044
250,High School,12,Manager,Finance,New York,Small,1,35,35,MQX962,92112.55622
251,Bachelors,4,Software Engineer,IT,New York,Large,4,50,44,MHP601,63916.59894
252,Bachelors,11,Manager,IT,New York,Small,3,39,40,CGH356,83004.52394
253,Masters,9,Software Engineer,Healthcare,New York,Large,4,34,59,XBQ008,78633.59657
254,High School,10,Analyst,IT,New York,Medium,4,26,57,ELL424,82062.83649
255,Masters,5,Data Scientist,Education,New York,Small,3,47,,OWH297,82195.77914
256,Bachelors,,Software Engineer,IT,New York,Large,0,,38,ACE037,66011.15366
257,Masters,2,Manager,Education,New York,Medium,4,54,41,IRE568,75716.70933
258,Masters,11,Data Scientist,Education,New York,Small,1,47,41,LUR848,85150.22869
259,PhD,0,Manager,Healthcare,New York,Small,1,33,48,KLT222,76845.82707
260,PhD,17,Manager,IT,New York,Small,4,58,31,AGT320,113603.2648
261,Bachelors,19,Analyst,Education,New York,Small,1,56,31,PZQ635,82462.37907
262,PhD,6,Software Engineer,IT,New York,Large,2,38,55,HNK786,100571.6204
263,Bachelors,9,Data Scientist,Finance,New York,Medium,2,22,45,NJF134,88540.77717
264,PhD,9,Software Engineer,Education,New York,Medium,3,33,43,VVV172,84915.83694
265,Masters,1,Manager,Education,New York,Small,4,30,39,ACI911,86421.61214
266,High School,11,Data Scientist,Education,New York,Large,2,40,35,MPM349,89079.82978
267,High School,3,,Education,New York,Medium,0,26,,SAB716,63564.50989
268,Masters,2,Analyst,Education,New York,Small,1,46,38,OKB701,76303.69639
269,PhD,15,Software Engineer,IT,New York,,0,52,35,,88857.19402
270,PhD,15,Data Scientist,IT,New York,Medium,,32,44,VXD401,96672.68803
271,High School,4,Data Scientist,Healthcare,New York,Large,4,53,40,ZJT090,76763.32484
272,Bachelors,2,Software Engineer,Finance,New York,Medium,0,56,35,GYC831,71264.46844
273,High School,16,Data Scientist,Finance,New York,Small,2,59,39,LRG901,110902.4078
274,High School,15,Manager,IT,New York,Large,4,57,47,YTJ793,
275,High School,3,Data Scientist,Finance,New York,Small,0,40,50,UCP484,74671.14785
276,PhD,11,Software Engineer,IT,New York,Small,3,48,57,ZKE923,93157.63229
277,PhD,14,Analyst,Healthcare,New York,Small,1,50,43,SZW041,93129.94082
278,Masters,12,Manager,Finance,New York,Medium,0,57,56,JIW511,83652.82027
279,High School,16,Software Engineer,Healthcare,New York,Large,4,41,50,HJT447,74186.876
280,Bachelors,15,Data Scientist,Education,New York,Small,2,52,34,XET381,86495.70733
281,Bachelors,3,,IT,New York,Small,1,,52,INK844,59981.51431
282,PhD,4,Manager,IT,New York,Large,1,39,46,DJJ693,100567.5037
283,PhD,6,Data Scientist,Education,New York,Large,3,27,41,NCY104,104628.4504
284,Masters,9,Manager,Education,New York,Medium,2,28,39,YMF590,
285,PhD,5,Data Scientist,IT,New York,Small,0,38,36,NDI580,97379.05553
286,PhD,0,Software Engineer,Finance,New York,Medium,0,35,35,DOB781,66876.6012
287,PhD,2,Software Engineer,Education,New York,Large,0,56,46,GMH071,65886.44307
288,PhD,14,Software Engineer,Education,New York,Small,0,30,32,LPX347,120856.6173
289,PhD,8,Analyst,Finance,New York,Medium,1,41,34,GLK787,74190.28815
290,High School,1,Analyst,Finance,New York,Large,2,52,47,BME325,63138.74777
291,,7,Data Scientist,IT,New York,Large,3,47,59,ZFR868,128033.4792
292,High School,6,Software Engineer,Finance,New York,Small,4,44,41,CQM622,92940.19998
293,Masters,6,Analyst,Healthcare,New York,Small,1,52,37,KWN537,82393.0938
294,Masters,4,Manager,Education,New York,Medium,2,33,46,JEO203,80078.50297
295,High School,8,Analyst,Education,New York,Large,1,33,34,IWS209,68779.34763
296,High School,15,Manager,Healthcare,New York,Large,1,51,52,HQB292,102566.2009
297,PhD,16,Software Engineer,Education,New York,Large,1,37,46,TOX999,102438.9427
298,Masters,0,Data Scientist,IT,New York,Small,2,51,,ZOY290,64519.69989
299,PhD,9,Data Scientist,,New York,Small,4,40,35,WYG732,129901.2061
300,High School,17,Analyst,IT,New York,Medium,3,50,31,QLC402,
301,High School,10,Manager,IT,New York,,4,40,45,,75904.91089
302,Masters,12,Software Engineer,IT,New York,Medium,3,25,36,ICB061,90382.61177
303,Bachelors,12,Manager,IT,New York,Small,2,32,55,JGT964,93688.83573
304,High School,19,Analyst,Healthcare,New York,Large,3,44,35,MYO988,
305,High School,15,Analyst,Healthcare,New York,Medium,1,52,32,XHT924,71938.49816
306,Masters,7,Manager,Education,New York,Medium,3,29,40,XKC761,78872.96403
307,PhD,8,Data Scientist,IT,New York,Medium,0,42,48,NXM050,101404.5534
308,Masters,7,Manager,Finance,New York,Large,3,48,,HOK079,98571.81996
309,Bachelors,15,Analyst,Healthcare,New York,Small,1,50,59,JNA936,86685.21252
310,Bachelors,14,Data Scientist,Healthcare,New York,Large,3,52,30,ZOA808,101437.0257
311,Masters,15,Data Scientist,Healthcare,New York,Medium,2,32,47,UBO100,97253.66784
312,PhD,15,Manager,Education,New York,Small,3,30,57,VXQ140,123769.8623
313,Bachelors,,Data Scientist,Education,New York,Small,1,59,42,QBJ411,76514.10031
314,Masters,1,Data Scientist,Healthcare,New York,Large,3,46,47,RXO986,79331.33679
315,Masters,14,Data Scientist,Finance,New York,Small,0,40,35,TBX908,99434.14831
316,High School,,Data Scientist,Finance,New York,Medium,4,52,54,ZPU760,79075.23176
317,Masters,11,Software Engineer,,New York,Small,2,27,55,VBK468,75966.34345
318,Masters,2,Manager,Education,New York,Medium,0,,56,WRX981,73592.92785
319,Masters,12,Analyst,Healthcare,New York,Small,0,43,40,NSM472,80988.22798
320,High School,1,Software Engineer,Finance,New York,Medium,3,25,59,VQY785,46409.52426
321,PhD,10,Manager,Healthcare,New York,Medium,4,55,45,XEM894,91746.40274
322,Masters,9,Manager,Education,New York,Medium,,53,38,NMZ189,87387.37997
323,Masters,8,Analyst,Healthcare,New York,Small,,40,32,INR134,88924.27749
324,PhD,4,Analyst,Healthcare,New York,Small,2,53,57,QPK202,69622.28275
325,Masters,0,Software Engineer,Healthcare,New York,Large,2,52,33,VCN563,72196.39594
326,,14,Manager,IT,New York,Medium,1,53,41,EEI765,110969.5369
327,High School,11,Manager,Healthcare,New York,Small,0,51,55,OLG972,73978.13791
328,High School,2,Manager,IT,New York,Small,0,46,33,JPW175,
329,PhD,18,Analyst,Education,New York,Small,,33,33,WCS126,100220.7917
330,Bachelors,16,Data Scientist,IT,New York,Small,3,33,44,BKD878,93493.25026
331,PhD,9,Manager,,New York,Medium,1,42,47,SBO944,108035.6693
332,Bachelors,0,Analyst,Finance,New York,Large,4,34,59,XBP248,63841.14397
333,PhD,,Software Engineer,IT,New York,Large,1,28,40,OTC408,79825.17793
334,Masters,,Data Scientist,IT,New York,Large,1,43,36,BSZ395,119089.3374
335,High School,7,Manager,IT,New York,Medium,0,,38,ZCZ372,86471.20213
336,,16,Data Scientist,,New York,Medium,1,,58,FNA921,114674.7933
337,High School,15,Analyst,IT,New York,Large,,37,31,UAA817,74222.61439
338,PhD,16,Software Engineer,Education,New York,Large,2,45,57,DAV990,105312.5207
339,PhD,7,Manager,Finance,New York,Medium,2,23,40,EBH741,83893.05246
340,,,Manager,Education,New York,Small,1,45,41,UTN045,
341,PhD,7,Analyst,Finance,New York,Small,3,35,45,DRR509,82537.63782
342,PhD,17,Manager,Education,New York,Large,3,37,41,GOC380,98816.31328
343,Bachelors,12,Data Scientist,,New York,Large,4,43,59,EBM835,87368.02921
344,Masters,2,Manager,IT,New York,Medium,3,40,54,JVC264,84103.99399
345,High School,19,Manager,Healthcare,New York,Small,0,51,35,BYG295,95093.23688
346,Bachelors,9,Manager,Finance,New York,,1,41,57,,92287.3295
